,n_simulations,mean,std,min,max,range
Beta,1000.0,-0.38971909266390764,0.0014332673799763473,-0.3950920840412657,-0.3848528917049444,0.010239192336321312
IdioVol3F,1000.0,4.2997250834519525,0.0014044503238592094,4.295080224575542,4.304033733077376,0.008953508501834406
Illiquidity,1000.0,2.944652625030717,0.0011242052510469368,2.9407319343863114,2.9479227800468575,0.0071908456605460636
GP,1000.0,2.727481830394218,0.0010103537730083302,2.7240656507172476,2.7305549577520476,0.006489307034799996
AssetGrowth,1000.0,8.171136169140865,0.001088712596674568,8.168142540972386,8.17435943457412,0.006216893601733275
Accruals,1000.0,7.436617368183737,0.0009057972821045133,7.433947534875569,7.439920093790715,0.005972558915146031
BM,1000.0,4.860862312785964,0.0009209510463088521,4.85814159791677,4.864057644441476,0.005916046524705898
Size,1000.0,2.4547785669366755,0.0008224246396685884,2.4523524269799046,2.4569111516924167,0.004558724712512063
Mom12m,1000.0,3.3770575982255413,0.0006559040020528443,3.3748246093195444,3.3790789626087125,0.004254353289168122
