predictor,baseline_lambda,baseline_tstat,lambda_mean,lambda_std,lambda_min,lambda_max,lambda_range,tstat_mean,tstat_std,tstat_min,tstat_max,tstat_range,baseline_significant,pct_remain_significant,n_simulations
Illiquidity,-0.0006500690822306557,-0.0033534656708163503,-0.0006646515971505905,8.573265593902171e-05,-0.0008478291646022446,-0.0004667833752297402,0.0003810457893725044,-0.0034286488193660514,0.0004421501191826532,-0.004373325289634518,-0.002408105713849155,0.001965219575785363,False,0.0,100
Accruals,0.03567987106636754,0.12746280297881568,0.03567248176968761,8.793245993068478e-05,0.035469460359532766,0.035927909226131434,0.000458448866598668,0.12743564798881604,0.000314860191355748,0.1267076603046568,0.12835032274224098,0.0016426624375841803,False,0.0,100
Mom12m,1.4836127283659217,1.8197341689222157,1.4835840106973988,0.00020667371249342582,1.4831294692994978,1.484052991624417,0.0009235223249191016,1.8197031628764737,0.00021102522383487828,1.8191970344061807,1.8202462979367737,0.001049263530592981,False,0.0,100
IdioVol3F,0.6629698119695949,1.4493106501317343,0.6629868281806189,0.000114399554189811,0.6627418790059149,0.6631934480035234,0.0004515689976085646,1.4493462144142846,0.00023846849204255162,1.448838669791395,1.449851331465335,0.0010126616739398742,False,0.0,100
Beta,-0.5155934800424026,-1.4621617605107167,-0.51558653732808,6.732547572304289e-05,-0.5157864273966919,-0.5154176649696857,0.00036876242700623063,-1.4621489447722078,0.0001695474190102649,-1.4626861227698702,-1.4617153831448872,0.0009707396249829525,False,0.0,100
GP,0.7942828776182568,3.900325955303651,0.7942911129050924,4.0775888180223354e-05,0.7941718003550634,0.7943877653972661,0.00021596504220267043,3.900359294440075,0.00017728599883515172,3.899863548623059,3.900784667039472,0.0009211184164130692,True,100.0,100
AssetGrowth,-0.1241939392944121,-0.5246952943081232,-0.1241953182645124,4.531399278183661e-05,-0.1243031110863453,-0.12407951061278462,0.00022360047356068113,-0.524701428710708,0.0001818030471501952,-0.5251361246106548,-0.5242228874787931,0.0009132371318617549,False,0.0,100
