simulation,t_stat_size,t_stat_value,coef_size,coef_value
0,1.629758004809895,2.6153485829901975,0.18024613497793915,0.2128978056565717
1,1.6286205574194101,2.613922704290911,0.18012672997075788,0.2127618498600543
2,1.6298578732700901,2.614385584425026,0.18025129904118178,0.21281962000083532
3,1.6280085336194876,2.610964727078794,0.18004485332488304,0.21253169047736667
4,1.6295914883346614,2.6136693392031245,0.18023237492461994,0.21275978281231214
5,1.6284524537503258,2.6104169010299554,0.18009570362128968,0.21249003540358744
6,1.6283584676431335,2.6143131713664594,0.18009431793683875,0.21280398770178968
7,1.6288002020846828,2.612442240067003,0.18014427241106865,0.21266333064237367
8,1.628760882732853,2.6117367124636672,0.18012181936099686,0.21258899582834487
9,1.6284290741776948,2.61415111620342,0.18010330760792895,0.21279343026703665
10,1.628022444472336,2.6136391497648606,0.1800416667875316,0.2127496598129773
11,1.6283728058884304,2.613178017226835,0.18008343843444305,0.21271564072258042
12,1.6289931177519292,2.614866180484316,0.1801607359486798,0.21285514953663723
13,1.62887306552688,2.614613108046766,0.18015212130425126,0.2128315851470765
14,1.628169252235671,2.6124926542695452,0.1800570007558103,0.21267216827524374
15,1.6297704883797373,2.6105069728772525,0.18024405230670432,0.2124948710378352
16,1.6278445047864305,2.614872128017267,0.18002886207923954,0.21284947762911335
17,1.629480527071853,2.614977433041427,0.18021147063492665,0.21286756717527197
18,1.6287476186621546,2.6142490366436517,0.18012619979004635,0.2128126449885328
19,1.6303622185680247,2.6135183135780524,0.1803146471458501,0.21273013268386465
20,1.6283909311080822,2.6124832380069685,0.18009106711045664,0.21267030525329741
21,1.6291370773742988,2.613935079985824,0.18017411830028526,0.2127721803937518
22,1.6268304816986079,2.614132079162818,0.17992695854928625,0.21279359013672114
23,1.6293282607642647,2.6125429635169604,0.1801889786976552,0.21265242362787193
24,1.6272575356205945,2.612701991499471,0.17995763493645558,0.21267773342719185
25,1.6272443577575155,2.613297603413983,0.17995388002333904,0.2127290829703557
26,1.6280863607615856,2.6137294994392293,0.18005456752023402,0.21276140554087772
27,1.6290958390279262,2.6120526430638087,0.18017306789183798,0.21263227519669595
28,1.6293063765516427,2.6130370457373977,0.1801900580258045,0.2126947979530011
29,1.63072628085844,2.612654604346699,0.18035439355646943,0.21266218129500175
30,1.629078243187999,2.6135618293602256,0.1801665366556011,0.21274078425689325
31,1.6279696292269872,2.6169774078428154,0.18003942029509312,0.21302706069021538
32,1.6281872150104482,2.612819335441163,0.1800669115116621,0.2126961855108667
33,1.6295614967820122,2.613229800977911,0.18022198261030226,0.21273584582163854
34,1.628197332792905,2.6141144039902637,0.18006912827793942,0.21279352653040962
35,1.6272115278214372,2.6139396946627893,0.17995336957517433,0.21278354597729035
36,1.6297711839965512,2.6132740516103947,0.18024250605464068,0.21270461111894123
37,1.629634723420946,2.6108270002839125,0.1802312345538664,0.21252599349136292
38,1.629048839783081,2.613975101765677,0.180166395285414,0.21279243789329338
39,1.628564515605676,2.613444820318122,0.18009984588136585,0.21275226855578808
40,1.627725622061362,2.612399389826659,0.18002432157453002,0.21266163304429989
41,1.629520601259981,2.6140899454632596,0.18021327982070115,0.21278816204955994
42,1.6292400660088475,2.612752470726495,0.18018549935585496,0.21269377113581334
43,1.6292640873891187,2.614001069274394,0.18019208626514163,0.21276947135022647
44,1.6294517097004644,2.6139229987117085,0.18020755381794026,0.21277145965038127
45,1.6279273879304756,2.6127042165742695,0.18004325373617186,0.21268845206749865
46,1.6301866735812176,2.6118986503649713,0.1802854763598816,0.21260406641511229
47,1.6277781260316817,2.6145386955411656,0.18001182088661383,0.21283131921840107
48,1.6293550275971547,2.61443683965929,0.1802048101039916,0.212831770420854
